Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
97,0.1701,14.3402,0.11634,9.896552647,10.86879139,11.47285809,11.80575617,12.33045644,12.69642386,13.25198885,14.34107262,15.50290894,16.15768197,16.61403893,17.3106998,17.77587525,18.68417993,20.32882868
98,0.1694,14.3885,0.11618,9.934031238,10.91067923,11.51695055,11.847644,12.3745489,12.74051632,13.29608131,14.38957432,15.55361527,16.21059292,16.66694988,17.36581537,17.83099082,18.74150012,20.3883535
99,0.1688,14.4365,0.11603,9.973714452,10.95256706,11.55883839,11.89173646,12.41864136,12.78460878,13.3423784,14.4358714,15.60432159,16.26129925,16.71986083,17.41872632,17.8861064,18.7966157,20.44787833
100,0.1682,14.4842,0.11588,10.01119304,10.99225028,11.60072623,11.9336243,12.46273382,12.82870124,13.38867548,14.48437311,15.6528233,16.31200558,16.77277178,17.4738419,17.94122197,18.8539359,20.50740315
101,0.1675,14.5316,0.11573,10.04867163,11.03193349,11.64261406,11.97551214,12.50462166,12.8727937,13.43276794,14.53067019,15.70352963,16.36491653,16.82347811,17.52675285,17.99633755,18.90905147,20.56692797
102,0.1669,14.5783,0.11558,10.08835485,11.07161671,11.68229728,12.01739997,12.54871412,12.91688616,13.47906502,14.5791719,15.75203134,16.41341824,16.87638907,17.5796638,18.0492485,18.96416705,20.62424817
103,0.1663,14.625,0.11544,10.12362882,11.11129992,11.72418511,12.05928781,12.59060195,12.96097862,13.52315748,14.62546898,15.80053304,16.46412456,16.92709539,17.63037013,18.10215945,19.01928262,20.68156836
104,0.1657,14.6711,0.1153,10.16110741,11.15098313,11.76386833,12.09897102,12.63248979,13.00286645,13.56724994,14.67176607,15.84903475,16.51483089,16.97780172,17.68328108,18.15507041,19.0743982,20.73888856
105,0.1651,14.717,0.11516,10.198586,11.19066635,11.80355154,12.14085886,12.67437763,13.04475429,13.6113424,14.71806315,15.89753645,16.5633326,17.02630343,17.73398741,18.20798136,19.12730915,20.79620876
106,0.1644,14.7626,0.11502,10.23606459,11.22814494,11.84323476,12.18054208,12.71626546,13.08884675,13.65323024,14.76215561,15.94603816,16.61183431,17.07700976,17.78689836,18.25868769,19.18242472,20.85352896
107,0.1638,14.8076,0.11489,10.27133856,11.26562353,11.88291797,12.22022529,12.7581533,13.13073459,13.6973227,14.80845269,15.99233524,16.66033601,17.12551146,17.83760469,18.31159864,19.23533568,20.91084916
108,0.1632,14.8525,0.11476,10.30661253,11.30530674,11.92260118,12.26211313,12.79783652,13.17262243,13.73921054,14.85254515,16.04083695,16.70883772,17.17621779,17.8861064,18.36230497,19.28824663,20.96596473
109,0.1626,14.8971,0.11463,10.34409112,11.34278534,11.9622844,12.30179634,12.83972435,13.21230564,13.78109837,14.89663761,16.08713403,16.75733942,17.2247195,17.93681273,18.4130113,19.34115758,21.02108031
110,0.162,14.9412,0.1145,10.37936508,11.38026393,11.99976299,12.33927493,12.87940757,13.25419348,13.82298621,14.94073007,16.13343111,16.80584113,17.27322121,17.98751906,18.46371763,19.39186391,21.07619588
111,0.1614,14.985,0.11438,10.41463905,11.41774252,12.0394462,12.37895815,12.91909078,13.29387669,13.86487405,14.98482253,16.1797282,16.85213821,17.32172291,18.03602076,18.51442395,19.44477486,21.13131146
112,0.1609,15.0285,0.11425,10.4477084,11.45301649,12.07692479,12.41864136,12.95877399,13.33576453,13.90676188,15.02891499,16.22382066,16.8984353,17.36801999,18.08452247,18.56292566,19.49548119,21.18642703
113,0.1603,15.0719,0.11413,10.48298237,11.49049508,12.11440339,12.45611995,12.99845721,13.37544774,13.94864972,15.07300745,16.27011774,16.94473238,17.4165217,18.13302418,18.61363199,19.54839214,21.24154261
114,0.1597,15.1147,0.11401,10.51825633,11.52576904,12.15188198,12.49359854,13.03814042,13.41513096,13.98833294,15.11489529,16.3142102,16.99102946,17.46281878,18.18152588,18.6621337,19.59909847,21.29445356
115,0.1591,15.1574,0.1139,10.55132568,11.56324764,12.18936057,12.53107713,13.07561901,13.45481417,14.03022077,15.15678313,16.36050728,17.03732654,17.51132049,18.23002759,18.7106354,19.6498048,21.34736451
116,0.1585,15.1998,0.11378,10.58659965,11.5985216,12.22683916,12.57076035,13.11530223,13.49449738,14.06990399,15.20087559,16.40459974,17.08362363,17.55761757,18.27852929,18.75913711,19.69830651,21.40027546
117,0.158,15.2417,0.11367,10.61966899,11.63379557,12.26211313,12.60603431,13.15278082,13.53197597,14.1095872,15.24276342,16.4486922,17.12771609,17.60171003,18.32482638,18.80763881,19.74901283,21.45318641
118,0.1574,15.2835,0.11356,10.65273834,11.66906954,12.29959172,12.64351291,13.19025941,13.57165919,14.14927041,15.28465126,16.49278466,17.17401317,17.64800712,18.37332808,18.85614052,19.79971916,21.50609737
119,0.1568,15.325,0.11345,10.68580768,11.70434351,12.33486569,12.6809915,13.22994262,13.60913778,14.18895363,15.32433447,16.53687712,17.21810563,17.6943042,18.41962517,18.90464223,19.84822087,21.55900832
120,0.1563,15.366,0.11334,10.71887703,11.73961748,12.37013965,12.71626546,13.26742121,13.64882099,14.22863684,15.36622231,16.57876496,17.26219809,17.73839666,18.46592225,18.95093931,19.89672258,21.60971465
121,0.1557,15.407,0.11324,10.75194637,11.77268682,12.40761824,12.75374406,13.30269518,13.68629958,14.26832006,15.40811015,16.62285742,17.30629055,17.78469374,18.51221933,18.99723639,19.94522428,21.6626256
122,0.1551,15.4476,0.11313,10.78281109,11.80796079,12.44289221,12.78901802,13.34017377,13.72377818,14.30579865,15.44779336,16.66474526,17.35038301,17.8287862,18.55851641,19.0457381,19.99372599,21.71333193
123,0.1546,15.4879,0.11303,10.81588044,11.84103013,12.47816618,12.82429199,13.37765236,13.76125677,14.34548186,15.48747658,16.70663309,17.39447547,17.87287866,18.60260887,19.09203518,20.04222769,21.76403826
124,0.154,15.528,0.11293,10.84674516,11.8763041,12.51123553,12.86177058,13.41292633,13.79873536,14.38296045,15.52715979,16.74852093,17.43856793,17.91697112,18.64890596,19.13833226,20.08852478,21.81474459
125,0.1535,15.5679,0.11283,10.87981451,11.90937345,12.54650949,12.89704455,13.45040492,13.83621395,14.42043904,15.56904763,16.79261339,17.48045577,17.96106358,18.69520304,19.18242472,20.13702648,21.86545091
126,0.1529,15.6074,0.11274,10.91067923,11.94244279,12.58178346,12.9301139,13.48567889,13.87148792,14.45791763,15.60652622,16.83229661,17.52454823,18.00515604,18.7392955,19.22872181,20.18332357,21.91615724
127,0.1524,15.6467,0.11265,10.94154395,11.97551214,12.61485281,12.96538786,13.52095286,13.90676188,14.49539623,15.64620943,16.87418444,17.56643606,18.0492485,18.78338796,19.27501889,20.23182527,21.96465895
128,0.1519,15.6857,0.11255,10.97240867,12.00858148,12.65012677,13.00066183,13.55622683,13.94424048,14.53287482,15.68589265,16.91607228,17.6083239,18.09113634,18.82748042,19.31911135,20.27812235,22.01316066
