Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
53,0.1132,10.828,0.13145,7.145,7.932,8.426,8.699,9.134,9.438,9.905,10.829,11.826,12.397,12.793,13.406,13.819,14.625,16.107
54,0.1109,10.8906,0.13125,7.191,7.983,8.479,8.752,9.189,9.495,9.963,10.891,11.894,12.465,12.866,13.481,13.894,14.705,16.193
55,0.1087,10.9526,0.13106,7.238,8.034,8.532,8.805,9.244,9.553,10.022,10.953,11.96,12.533,12.937,13.554,13.968,14.784,16.279
56,0.1065,11.0141,0.13087,7.284,8.082,8.583,8.858,9.299,9.608,10.08,11.014,12.026,12.602,13.005,13.627,14.043,14.861,16.365
57,0.1044,11.0749,0.13068,7.33,8.131,8.633,8.911,9.354,9.663,10.137,11.076,12.09,12.67,13.076,13.697,14.116,14.939,16.449
58,0.1022,11.1353,0.1305,7.377,8.181,8.684,8.962,9.407,9.718,10.192,11.136,12.154,12.736,13.144,13.77,14.189,15.016,16.532
59,0.1001,11.1951,0.13033,7.421,8.228,8.735,9.015,9.46,9.771,10.249,11.195,12.218,12.802,13.212,13.841,14.262,15.093,16.616
60,0.098,11.2544,0.13015,7.467,8.276,8.785,9.065,9.513,9.826,10.304,11.255,12.282,12.868,13.278,13.911,14.334,15.168,16.698
61,0.0959,11.313,0.12998,7.511,8.325,8.834,9.116,9.564,9.879,10.36,11.314,12.346,12.932,13.347,13.98,14.405,15.241,16.777
62,0.0938,11.3714,0.12982,7.555,8.371,8.882,9.165,9.617,9.932,10.415,11.371,12.408,12.998,13.413,14.048,14.476,15.316,16.859
63,0.0918,11.4292,0.12966,7.599,8.417,8.931,9.215,9.667,9.985,10.468,11.429,12.469,13.062,13.479,14.116,14.546,15.39,16.94
64,0.0897,11.4865,0.1295,7.641,8.464,8.979,9.264,9.718,10.035,10.523,11.486,12.531,13.126,13.543,14.185,14.617,15.463,17.02
65,0.0877,11.5434,0.12934,7.685,8.51,9.028,9.312,9.769,10.086,10.576,11.543,12.591,13.188,13.609,14.253,14.685,15.536,17.099
66,0.0857,11.5998,0.12919,7.727,8.554,9.074,9.361,9.817,10.139,10.628,11.601,12.652,13.252,13.673,14.319,14.753,15.607,17.176
67,0.0838,11.6558,0.12904,7.769,8.6,9.121,9.409,9.868,10.19,10.681,11.656,12.712,13.314,13.737,14.385,14.822,15.679,17.253
68,0.0818,11.7112,0.12889,7.811,8.644,9.167,9.456,9.916,10.238,10.732,11.711,12.771,13.375,13.799,14.451,14.888,15.75,17.331
69,0.0798,11.7661,0.12875,7.853,8.688,9.213,9.504,9.965,10.289,10.785,11.766,12.829,13.437,13.863,14.515,14.956,15.818,17.408
70,0.0779,11.8207,0.12861,7.895,8.733,9.259,9.55,10.013,10.337,10.836,11.821,12.888,13.497,13.924,14.581,15.022,15.889,17.483
71,0.076,11.8748,0.12847,7.934,8.777,9.306,9.597,10.062,10.388,10.886,11.874,12.946,13.556,13.986,14.645,15.086,15.957,17.558
72,0.0741,11.9286,0.12834,7.976,8.821,9.35,9.643,10.108,10.437,10.937,11.929,13.003,13.616,14.048,14.709,15.152,16.025,17.635
73,0.0722,11.9817,0.12821,8.016,8.863,9.394,9.687,10.157,10.483,10.986,11.982,13.06,13.675,14.107,14.771,15.219,16.094,17.708
74,0.0704,12.0344,0.12808,8.056,8.904,9.438,9.733,10.203,10.531,11.036,12.035,13.118,13.735,14.167,14.833,15.282,16.162,17.78
75,0.0685,12.0868,0.12795,8.095,8.949,9.482,9.778,10.249,10.58,11.085,12.088,13.173,13.792,14.226,14.897,15.344,16.228,17.855
76,0.0667,12.1389,0.12783,8.135,8.99,9.526,9.822,10.296,10.626,11.133,12.139,13.228,13.849,14.286,14.958,15.408,16.294,17.928
77,0.0648,12.1905,0.1277,8.173,9.03,9.57,9.866,10.342,10.673,11.182,12.192,13.283,13.907,14.345,15.018,15.472,16.361,17.999
78,0.063,12.2416,0.12758,8.212,9.072,9.612,9.91,10.386,10.719,11.23,12.242,13.338,13.964,14.405,15.08,15.534,16.427,18.071
79,0.0612,12.2923,0.12747,8.25,9.114,9.654,9.954,10.43,10.765,11.277,12.293,13.393,14.021,14.462,15.139,15.596,16.491,18.142
80,0.0595,12.3428,0.12735,8.289,9.154,9.698,9.998,10.476,10.811,11.325,12.344,13.446,14.077,14.52,15.199,15.657,16.557,18.212
81,0.0577,12.3928,0.12724,8.327,9.193,9.74,10.04,10.52,10.856,11.371,12.392,13.501,14.134,14.577,15.258,15.717,16.621,18.283
82,0.0559,12.4425,0.12713,8.364,9.233,9.78,10.082,10.565,10.902,11.418,12.443,13.554,14.189,14.634,15.318,15.778,16.685,18.351
83,0.0542,12.4918,0.12702,8.402,9.275,9.822,10.124,10.609,10.946,11.464,12.491,13.607,14.242,14.689,15.377,15.838,16.746,18.422
84,0.0525,12.5406,0.12691,8.437,9.312,9.863,10.166,10.651,10.99,11.51,12.54,13.658,14.297,14.745,15.435,15.898,16.81,18.488
85,0.0508,12.5893,0.12681,8.475,9.352,9.903,10.207,10.695,11.034,11.554,12.588,13.711,14.352,14.802,15.492,15.957,16.872,18.556
86,0.049,12.6373,0.12671,8.51,9.392,9.943,10.249,10.737,11.078,11.601,12.637,13.763,14.405,14.857,15.549,16.017,16.934,18.625
